"1","吴斌","1","医学院",\N,\N,"/media/50/2006_1.jpg",\N,"这个2002级的男孩给我们贡献了一种新型创可贴，这片小小的膜状粘贴带给我们的不仅仅是疗伤方式的变革，而是一场思考方式的革命。如果吴斌折服在“邦迪”的脚下，注定“纽绿特”难以问世；如果吴斌没有经过夜以继日的努力，“纽绿特”可能仅仅是几项专利拥有者的代名词，很难走上产业化的道路。这一切都源于他坚定不移的信念：年轻就应该挑战。","2006"
"2","Forward","2","",\N,\N,"/media/50/2011_2.jpg",\N,"  这是一只少年得志的队伍，春风得意马蹄疾，一朝看尽长安花。XXX他们目光如炬，勇敢前进，斩获国际创业大赛冠军、获得国际风投的青睐。成为中国第二个夺魁的大学生团体。XXX创业的路上，他们翻山越岭，披星戴月。XXX 珞珈山的梦想感召了他们，他们把武大的名字告诉了全世界。  ","2011"
"3","曹祺","3","",\N,\N,"/media/50/2008_3.jpg",\N,"在编码复杂程序的过程中解码人生的真谛，简单的字母与数字的交织里透析着生命的指令。沉醉在代码的世界里无法自拔，世人笑他的痴与癫，更困惑于他的疯与狂。全身而进却毫不盲目，华丽的代码，低调的人生，缜密的思考，冷静的生活。电脑是他最大的舞台，键盘的敲击成了最动听的旋律。宁静致远，纯粹的工作里是人生唯美的升华。","2008"
"4","李创","4","经济与管理学院",\N,\N,"/media/50/2006_4.jpg",\N,"对于担任学生干部的李创而言，“风云”不仅意味着毋庸置疑的才华、灿烂耀眼的荣誉光环，更意味着一种破旧立新、突破樊篱的勇气，一种肩担责任、一语千金的果敢。在李创所策划的各种活动中，无论是“梦想五大，挑战青春”综合大比拼，还是“模拟职场”精英挑战赛，频频闪现的创意和亮点都让我们眼前一亮。他一直以创新的标准要求自己，没有最好，只有更好。年轻，就应该勇于挑战！","2006"
"5","麦晓明","5","动力与机械学院",\N,\N,"/media/50/2008_5.jpg",\N,"不再平庸的现实中沉睡，他有一双孩童般敏感的眼睛，如漆的眼眸里不是深邃的夜空，确是生活得惊喜。拥有发明成果23项，其中15项发明成功申请国家专利。生活宛若他手中的魔方，层出不穷的变换中总有意想不到的美丽。他是发明大王，更是开朗阳光的学生会主席。无处不生活，无处不发明。灵动快意的过往里，演绎匠心独运的传奇。","2008"
"6","海尔兄弟","6","",\N,\N,"/media/50/2009_6.jpg",\N,"拥有包括19项国家专利的25项发明成果，这两个自称“海尔兄弟”的工科男生，一个来自“天南”，一个来自“海北”，志同道合打造了他们之间独特的默契。他们虽都颇具“发明狂人的潜质”，却依旧不乏生活得情调。口琴、厨艺、合唱，对于生活细致入微的理解，给予他们源源不断的灵感，奔走于任何道路都能诗意地栖居。","2009"
"7","韦凯腾","7","",\N,\N,"/media/50/2010_7.jpg",\N,"   源于生活，于细微处见精神；用于生活，在实践中展身手。XXX来自南洋的他用一百五十四项发明，以三年的珞珈旅程，或浸于古典水墨之中，抑投入当代科技之内，异想天开，脚踏实地，想他人所不敢想，做他人所不敢做，让独自在外探索的人生凯旋，见熠熠不息的创新升腾。","2010"
"8","谢梦非","8","",\N,\N,"/media/50/2012_8.jpg",\N,"    他用一瞬的灵感，九小时的实践，为我们创造“妙手”、指路武大。面对求助他几乎来者不拒，面对赞誉他淡然处之。众人口中的实力超群的大神，自己心中的闲散无争得凡人。仅凭“有趣”，他缓步路上，灵感无穷、动力无限。XXX谢梦非，用自己的才能，创造风云的意义。","2012"
"9","杨硕","9","国际软件学院",\N,\N,"/media/50/2012_9.jpg",\N,"    一位软件工程的大四学生，运用他的专业知识切切实实地帮助了渐冻人症患者。XXX 长路漫漫，一丝努力便是一份温暖，他带领一个团队上下求索。信念坚定，如方且直的磐石；努力卓绝，似韧如丝的蒲苇。比“国家发明专利”更宝贵的，是患者能被倾听心声时的那一丝喜悦。XXX融化疾病的坚冰，他宣告了即将到来的春天。","2012"
"10","邱驰","10","",\N,\N,"/media/50/2012_10.jpg",\N,"小灵感点亮大生活，荣膺业内最高奖项，2012年德国红点见证他的辉煌。奔波台湾南北，一千只彩绘候鸟传递他的爱与温暖。关怀清洁工人，心系务工子弟，他行走在设计与服务的探索之路上。他对生活饱含热情，他把热情融入作品，他用作品告诉我们，灵感的力量，足以激荡风云。","2012"
"11","杜雨","11","经济与管理学院",\N,\N,"/media/50/2012_11.jpg",\N,"    多项奖学金，多个学生团体领袖，这是他学习与实践的巧妙平衡。两届挑战杯获奖，李嘉诚基金会未来商业精英训练营的一员，实习于摩根士丹利，只是他为理想奋斗的最好佐证。XXX 生命不息，奋斗不止。珞珈精英之光，为商为贾之志。秉承武大精神，汲取珞珈风华。XXX 杜雨，他为自己的人生掀开风云的一页。","2012"
"12","赵小亭","12","电气工程学院",\N,\N,"/media/50/2010_12.jpg",\N,"她用有限的人生，诠释着无限的无限的事业，把青春的芬芳，散发在连绵的群山中；孩子们记住了一位永远年轻的老师，也记住了“志愿者”的深刻含义：每一朵玫瑰都能昭示春天，都能展现世界的美丽。笔下有文采，豆蔻短长皆华章；胸中藏天下，热血柔情亦芬芳。","2010"
"13","陶孝芳","13","",\N,\N,"/media/50/2008_13.jpg",\N,"陶孝芳，作为《珞珈心源》社长兼主编，她用心写爱；大学四年无偿献血三十余次，她践行大爱。爱，贵在全力以赴，贵在持之以恒。 血浓于水，爱与奉献让她更美丽。","2008"
"14","大山里的魔法教室","14",\N,\N,\N,"/media/20/2016_14.jpg",\N,"一年半的时间，30余万元募得的资金，6间“魔法教室”，2000余课时志愿授课，2406人收益学生。是他们教会大山里的孩子以梦想，爱与感恩，是他们给孩子们打开又一扇窗，是他们给公益创业增添了又一种可能。他们相信，只要热情和坚持，梦想终会花开。","2010"
"15","李可欣","15","",\N,\N,"/media/50/2009_15.jpg",\N,"她想让每个孩子都有一个幸福而完整的童年，于是她在每一个留守儿童的心田种上满满的太阳花，让留守儿童们能够感受最深切的温暖。她从中真真切切地懂得了感恩与爱，以及人生的价值，活着的意义。桃李不言下自成蹊。善良，慈悲在这里上演，人性的魅力震撼了汲汲于世的观音，顺着生命的河流行走，无论未来怎样，她始终面朝春暖花开的远方。","2009"
"16","张云华","17","艺术学系",\N,\N,"/media/50/2008_17.jpg",\N,"系学生会主席，首届湖北省大学生创意企业未来之星选拔赛策划者，《珞珈青年报》总编......她有着长长的一串头衔，但最特殊的身份莫过于“四川绵阳人”了。2008年的大地震吞噬了生她养她的土地，却没能摧毁她的意志；她四处奔波，组织多次募捐活动，参与家乡重建。灾难后我们该如何面对，她给了我们答案。所谓自强，大抵如此。","2008"
"17","“爱的传递”团队","19","",\N,\N,"/media/50/2009_19.jpg",\N,"一百八十小时的高强度工作，一个寒假的实地调研，一个学期的图书募捐，一切艰难都只为了一本书的承诺。他们试图带领那些深受地震创伤的孩子们走出阴霾，试图给那片沉重的土地灌溉新的活力，当爱已成习惯，当付出已成收获，没有值得与否，生命的价值从来不是用交换来体现的。大爱无言，大音希声，他们以信仰的名义书写人生的书本。","2009"
